"1-> Luhn, 2-> LSA, 3->Text-Rank",,,#Tweets: 186
1+2+3,"Cyclone Fani kills two in eastern India, a million evacuated\nhttps:\/\/t.co\/ncTbG29KNC #CycloneFani.",,
1+2+3,1000 crore in advance to affected areas as a relief for #CycloneFani.\u2026 https:\/\/t.co\/oNi0lS8Cq7.,,
1+2+3,"#CycloneFani weakens after 3 deaths, widespread damage in #Odisha \n\nhttps:\/\/t.co\/K12EG4xvsq.",,
1+2+3,@501Awani @bernamadotcom @BuletinTV3 @malaysianmet Tweet from TweetCaster - @IndiaToday: 160 people injured in Cycl\u2026 https:\/\/t.co\/je4idq888W.,,
1+2+3,#CycloneFani: 1 million shifted as India's worst cyclone in 20 years hits today Read: https:\/\/t.co\/Rc3tYy2NmE\u2026 https:\/\/t.co\/JPIBG3COmE.,,
1+2+3,LIVE | A government of India spokesperson has said at least 160 people have been reportedly injured as #CycloneFani\u2026 https:\/\/t.co\/zc1YVk7dAa.,,
1+2+3,Cyclonic storm Fani likely to weaken in next 9 hours\n#Cyclonic #storm #Fani #weaken #Odisha #IMD\u2026 https:\/\/t.co\/2R5fyYWGe7.,,
1+2+3,Wind touching 200kmph\n#CycloneFani #Fani #Bhubaneswar #BeSafe #mothernature #FaniCyclone https:\/\/t.co\/E9CNHn21hk.,,
1+2+3,"Three dead as #CycloneFani hits #Odisha , now moving towards #Bengal \nFor More: https:\/\/t.co\/933nA8pCix\nhttps:\/\/t.co\/IkJZhMNZLG.",,
1+2+3,#Fani: List of NE trains cancelled \n#Assam #Assamnews #Guwahati #Ferryservices #Northguwahati #Fani #CycloneFani\u2026 https:\/\/t.co\/T6LYdYpaeG.,,
1+2+3,#CycloneFani to enter Bengal by midnight \n\nhttps:\/\/t.co\/5ZI3BfoY6v\n\n#Fani #cyclone.,,
1+2+3,More than one million people have been evacuated from the Eastern stat\u2026 https:\/\/t.co\/YoivYt5gGk.,,
1+2+3,"cyclone #fani hits India west of Puri, 2 deaths reported so far https:\/\/t.co\/poJHW4CWM7.",,
1+2+3,#BREAKING: #CycloneFani 370 km away from #Kolkata; likely to hit #WestBengal by midnight.\n#FaniCyclone #FaniUpdates https:\/\/t.co\/s0i8ezbj7F.,,
1+2+3,Cyclone Fani are living Updates - powerful Storm Lashes India's Coast -- #Cyclone #Fani #...\u2026 https:\/\/t.co\/oEEchU1qvG.,,
1+2+3,"Weather Forecast May 4: Cyclone Fani to weaken in depression, heavy rains in Kolkata, WB, Bihar, Jharkhand Assam\u2026 https:\/\/t.co\/kJrkoZL7Ox.",,
1+2+3,Cyclone Fani Makes Landfall On India's East Coast\n\n#CycloneFani #Odisha #WestBengal #Fani\n\nhttps:\/\/t.co\/AnKQMLNtiC.,,
1+2+3,"Cyclone #Fani made landfall in NE India, creating major havoc as it gradually weakens from a Cat4 storm.\u2026 https:\/\/t.co\/8zDiDyudaQ.",,
1+2+3,#CycloneFani: All flights have been cancelled in CCU airport from 04:00 hrs on 03\/5\/2019 05:00 hrs on 04\/5\/2019.\u2026 https:\/\/t.co\/AuJHZXfE2d.,,
1+2+3,Cyclonic storm Fani likely to weaken in next 9 hours\n#Cyclonic #storm #Fani #weaken #Odisha #IMD\u2026 https:\/\/t.co\/lj3baGzxxt.,,
1+2+3,"#CycloneFani : Indian Railways permits free transportation of relief material for West Bengal, Odisha and Andra Pra\u2026 https:\/\/t.co\/55eZouiiZo.",,
1+2+3,#CycloneFani continues to move North-Northeastwards &amp; likely to further weaken into a 'Severe Cyclonic Storm' in ne\u2026 https:\/\/t.co\/BrfSjjTszI.,,
1+2+3,Heavy winds at over 100 miles is de\u2026 https:\/\/t.co\/ph4oueM3my.,,
1+2+3,#UPDATE Three dead as cyclone #Fani hits eastern India https:\/\/t.co\/4uIX7cZQeL.,,
1+2+3,"#CycloneFani | India reportedly plans to evacuate 800,000 people as cyclone Fani approaches eastern coast.\n#news_by\u2026 https:\/\/t.co\/Hd1YCk8KXW.",,
1+2+3,#CycloneFani has brought torrential rain and winds of up to 125mph to #India's eastern coastline.\n\n@WVIndia's Disas\u2026 https:\/\/t.co\/ODn5mtPfpx.,,
1+2+3,#Fanicyclone : Deadly cyclone Fani moves towards #Bangladesh and expected to lash Assam and north east region from\u2026 https:\/\/t.co\/p7FRskRE86.,,
1+2+3,#cyclone #FaniCyclone #Fani #climatechange #Bangladesh #photojournalism #hightide #extremeweather https:\/\/t.co\/juOEntpjBF.,,
1+2+3,"#BREAKING A group of 34 pilgrims from Nalbari, Assam have been safely brought to Kolkata #CycloneFani https:\/\/t.co\/P90JHVVrfE via @Time8.",,
1+2+3,"Cyclone #Fani to 'weaken further' in next 6 hours, lay centred over #Bangladesh: #IMD https:\/\/t.co\/t6XKQIzeOl https:\/\/t.co\/IVAoe3ZykJ.",,
1+2+3,The National Frontier Railway (NFR) has announced cancellation of several trains after a rainfall alert was sounded\u2026 https:\/\/t.co\/xkRNrnf0tN.,,
1+2+3,"Meticulous preparations, foresight and learning from the past resulted in a record 1.1 million people being evacuat\u2026 https:\/\/t.co\/iU1aNE4pYs.",,
1+2+3,"#CycloneFani | Cyclone Fani to stay over Bangladesh till 4 pm, 12 killed\nhttps:\/\/t.co\/xtueIxp9SN.",,
1+2+3,"Airports Authority of India, North Eastern Regional Headquarters: 59 flights cancelled in Guwahati, 8 in Agartala,\u2026 https:\/\/t.co\/YDA4oVepxp.",,
1+2+3,Cyclone Fani Kills 12 in India Before Sweeping into Bangladesh\n#CycloneFani #Bangladesh\n\nhttps:\/\/t.co\/zuL9VMIzH4 https:\/\/t.co\/2sw7agCo8p.,,
1+2+3,"#CycloneFani batters Bangladesh: 14 dead, 63 injured; 1.6 million people evacuated\n\n#CycloneFaniUpdates\u2026 https:\/\/t.co\/jKJzeHnoA7.",,
1+2+3,#Bangladesh orders millions to evacuate after 'extremely severe' #CycloneFani slams into Ind\u2026 \ud83d\ude31 https:\/\/t.co\/nF4AgupGDD.,,
1+2+3,Death toll in #Odisha due to #CycloneFani rises to 13; four persons each from Baripada &amp; Jajpur have been killed wh\u2026 https:\/\/t.co\/zCEJpmJKDV.,,
1+2+3,#CycloneFani kills 12 in India as it barrels towards Bangladesh | World News | Sky News https:\/\/t.co\/YsTXUtaGxR.,,
1+2+3,Fani impact: 79 flights cancelled by AAI in northeast \n\nhttps:\/\/t.co\/5ipXxRDIoT\n\n#CycloneFani.,,
1+2+3,"Cyclone hits #Bangladesh after battering #India, mass evacuations save lives\n\n#CycloneFani #Dhaka #TropicalStorm\u2026 https:\/\/t.co\/wa9ULkXBqV.",,
1+2+3,Here is the storm-centered MIMIC path of Cyclone #Fani over the past 48 hours showing landfall in northeast #India\u2026 https:\/\/t.co\/pNbZiFCfaU.,,
1+2+3,#Fani #SavingLives How a poor state in India saved 1 million people from a cyclone https:\/\/t.co\/A3aGy1xAxr via @torontostar.,,
1+2+3,#CycloneFani: tears through India's east coast forcing evacuation of 1.2M people.\n\n https:\/\/t.co\/ot8IYaZNT7.,,
1+2+3,"#CycloneFani has left the East Coast short of power supply, basic facilities, and transportation with great damage\u2026 https:\/\/t.co\/uqSEFVhZhW.",,
1+2+3,"#CycloneFani has left the East Coast short of power supply, basic facilities, and transportation with great damage\u2026 https:\/\/t.co\/gU3p9KgsLN.",,
1+2+3,#CycloneFani kills 12 as strongest storm in five years tramples Indian's east coast | Daily Mail Online #india\u2026 https:\/\/t.co\/UeqWdeTrP5.,,
1+2+3,"#CycloneFani has left the East Coast short of power supply, basic facilities, and transportation with great damage\u2026 https:\/\/t.co\/lLXVl4BYu7.",,
1+2+3,"#OMMCOMNEWS | #CycloneFANI: 10 Lakh Electricity Connections To Be Restored By Tomorrow, Says SRC - https:\/\/t.co\/8Oy8jNAs3g.",,
1+2+3,"#CycloneFani has left the East Coast short of power supply, basic facilities, and transportation with great damage\u2026 https:\/\/t.co\/HCcUEpuKdR.",,
1+2+3,Cyclone Fani claims 14 lives in Bangladesh\n#CycloneFani #claims #lives #Bangladesh #CycloneFoni #Cyclone #Dhaka\u2026 https:\/\/t.co\/oMc8cPC9dQ.,,
1+2+3,Every contribution counts.. #Odisha govt says 29 people have lost their lives under the impact of #CycloneFani so far - 21 alone in #Puri distr\u2026 https:\/\/t.co\/NOVhpIiILp.,,
1+2+3,"CM @Naveen_Odisha announced 91,000 and one month of additional quota of rice and polythene to families covered unde\u2026 https:\/\/t.co\/h8NxP1Xenu.",,
1+2+3,At least 30 people have been killed in India and Bangladesh as Cyclone Fani struck the east coast.,,
1+2+3,"Energy infra in #Odisha has suffered losses worth Rs 1,200 cr from #CycloneFani\u2019s fury, says state energy secy Hema\u2026 https:\/\/t.co\/nyn7AMRe4P.",,
1+2+3,"Cyclone Fani Destroys More than 1,000 Homes in #Bangladesh https:\/\/t.co\/NMStm1fq7X #asianews #breakingnews #frontpage #cyclonefani.",,
1+2+3,#Odisha: Visuals from Puri Railway Station after cyclone #Fani hit the region on May 3. https:\/\/t.co\/97WDfv3qPW.,,
1+2+3,"At least 16 people were killed in India as the storm lashed the states of #Odisha and #WestBengal on Friday, before\u2026 https:\/\/t.co\/jNXjuj70YR.",,
1+2+3,"Cyclone Fani: Over 1,000 houses destroyed in Bangladesh homes\nhttps:\/\/t.co\/bncFlgJA7c\n#Khabarhub #CycloneFani\u2026 https:\/\/t.co\/vaah1dY5Jc.",,
1+2+3,"Fani kills 43 in Odisha, restoration work on at full swing https:\/\/t.co\/ivmy3RzODI \n\n#CycloneFani killed at least 4\u2026 https:\/\/t.co\/DTZ02miRDD.",,
1+2+3,People have been shifted to safer areas as #CycloneFani hit the eastern coast of India.,,
1+2+3,CM @myogiadityanath has announced Rs 10 crores for emergency relief for Odisha cyclone victims and affected pers\u2026 https:\/\/t.co\/Zz1ZEZtIYA.,,
1+2+3,#CycloneFani Tamil Nadu govt contributes Rs 10 crore from CM's public relief fund to Odisha @timesofindia\u2026 https:\/\/t.co\/g2EQe8b4RB.,,
1+2+3,"#Odisha Govt announces relief package for #CycloneFani affected people:\n\n- Rs 95,100 for fully damaged houses.\n\n- R\u2026 https:\/\/t.co\/JmTjvYxEx9.",,
1+2+3,Over 80 flights cancelled in NE due to \u2018Fani\u2019\n#FaniCyclone #Fani #Airport #Stations #Airlines #Cyclone #Eastern\u2026 https:\/\/t.co\/loW2CwRxsp.,,
1+2+3,10 crores for emergency relief for Odisha cyclone victims and affected per\u2026 https:\/\/t.co\/6q4H0iDDnQ.,,
1+2+3,"#Odisha: Indian Navy load relief material on a chopper, and air-drop food packets for people affected due to cyclon\u2026 https:\/\/t.co\/YUa7GWXadF.",,
1+2+3,"On 3rd of May, the day when #Fani stroke Odisha, people remain inside house till evening.",,
1+2+3,"#CycloneFani | To accommodate impacted customers, @airvistara will be operating additional flights tomorrow (May 6)\u2026 https:\/\/t.co\/BDCPBW86MD.",,
1+2+3,"LIVE | Uttar Pradesh CM, Yogi Adityanath has announced Rs 10 crore from the CM Relief Fund for emergency relief for\u2026 https:\/\/t.co\/dB6t7mC2Wl.",,
1+2+3,#CycloneFani | #UttarPradesh CM Yogi Adityanath announces funds of \u20b910 crore for the relief of cyclone-affected peo\u2026 https:\/\/t.co\/9ND9CdON8u.,,
1+2+3,#TamilNadu Chief Minister Edappadi K. Palaniswami orders an immediate contribution of a sum of Rs.10 crores from Ch\u2026 https:\/\/t.co\/Q58ZVwEue2.,,
1+2+3,"#CycloneFani | Death toll rises to 29 in Odisha, CM Naveen Patnaik (@Naveen_Odisha) announces relief package https:\/\/t.co\/tc5iryeftL.",,
1+2+3,#BIGNEWS: #UttarPradesh CM Yogi Adityanath announces emergency relief of Rs 10 crore from CM Relief Fund for\u2026 https:\/\/t.co\/RnMQEoTNAI.,,
1+2+3,"Talking to reporters here, Patnaik claimed that water supply had been restored in 70 per cent areas of the worst-hi\u2026 https:\/\/t.co\/J6kLphY49M.",,
1+2+3,#CycloneFaniAftermath: #Odisha CM Naveen Patnaik announces relief package for people affected by #CycloneFani https:\/\/t.co\/VGKgpWxZAi.,,
1+2+3,#Bhubaneswar : The death toll in #CycloneFani rose to 29.,,
1+2+3,Patnaik claimed that water supply had been restored in 70 per cent areas of the worst-hit Puri town.,,
1+2+3,#CycloneFani hit Odisha with a wind speed of around 200km\/hr.,,
1+2+3,"Cyclone Fani: Death toll rises to 29 in Odisha, CM announces relief package: CM announced an assistance of Rs 95,10\u2026 https:\/\/t.co\/3dXQkdUay5.",,
1+2+3,5 crore for relief work of #CycloneFani h\u2026 https:\/\/t.co\/fxv7a8kjjQ.,,
1+2+3,Uttar Pradesh Chief Minister Yogi Adityanath announces Rs 10 crore from CM Relief Fund for emergency relief for peo\u2026 https:\/\/t.co\/5cVrb0l5Dc.,,
1+2+3,@sushilrTOI @SushmaSwaraj ji can you help in this issue..\n\nOr incase can his money he used for #Fani victims.\u2026 https:\/\/t.co\/2dMmLDtEIp.,,
1+2+3,"The death toll in Cyclone Fani rose to 29 on Sunday, two days after the \.",,
1+2+3,CYCLONE FANI HELP AND INFORMATION\nOdisha\u2019s emergency helpline number - +916742534177\nPlease share \ud83d\ude4f\n\n#CycloneFani\u2026 https:\/\/t.co\/K9e5AQf0pT.,,
1+2+3,"#India #cycloneFani kills at least 33, hundreds of thousands homeless\n#Odisha #odishacyclone #OdishaAfterFani\u2026 https:\/\/t.co\/MH4yJxpahY.",,
1+2+3,"#CycloneFani: Death toll rises to 29 in Odisha, CM announces relief package \n\nRead: https:\/\/t.co\/XkPh21XE51 https:\/\/t.co\/hROWnK4eUv.",,
1+2+3,"Cyclone Fani: Death toll goes up to 33 in Odisha, train services still affected From - (India Today)#News #fani\u2026 https:\/\/t.co\/EKnZaVkvlB.",,
1+2+3,Cyclone Fani: 29 deaths reported in Odisha so far \u2013 Latest English News | Absolute India News https:\/\/t.co\/kPbnPYcyaG\n#CycloneFani.,,
,,,
1+2,So far 2 deaths reported during #CycloneFani #Fani #FaniUpdates #FaniCyclone.,,
1+2,Please contact us for any help in the event of storm.,,
1+2,"Police Control Room Number - 8638389873, for those who have n\u2026 https:\/\/t.co\/FjMfuFTVbU.",,
1+2,Nearly a million have been evacuated due to the \.,,
1+2,Read #India71 Story | @_India71 | #India | \n\n#CycloneFani: 223 trains #cancelled till #Saturday\n\nhttps:\/\/t.co\/QKfnGF1PdM.,,
1+2,#CycloneFani: Bangladesh today evacuated over five lakh people.,,
1+2,#AIIMSPGExam 2019: Exam for #Bhubaneshwar cancelled after #CycloneFani hits #Odisha\n#AIIMS \nhttps:\/\/t.co\/tmGepuY83G.,,
1+2,"400,000 people on the coast of #Bangladesh have already\u2026 https:\/\/t.co\/2P9lQwLWxQ.",,
1+2,@kampetero @AJENews 1.1 million people were evacuated to 5000 safe shelters.,,
1+2,Evacuation of 1.2M people in 12 hours just before a deadly cyclone.,,
1+2,"Around 15,000 people spent last night at shelters in\u2026 https:\/\/t.co\/NjWEt6AFBP.",,
1+2,Modiji already released 1000 crores for #cyclonefani affected States.,,
1+2,#Airport Authority of India cancels 59 flights in North Eastern region due to #CyclonieFoni.,,
1+2,12 people lost their lives in Odisha due to #CycloneFani.,,
1+2,#CycloneFani IAF MI-17 helicopter lands at #Bhubaneswar for #HADR operations.,,
1+2,"Cyclone #Fani hits Bangladesh after battering India, mass evacuations save lives \nhttps:\/\/t.co\/VzhNgH047R.",,
1+2,"14 dead, 63 injured as #CycloneFani hits #Bangladesh after swiping India\n\nhttps:\/\/t.co\/IeyKNnB9fg.",,
1+2,@IAF_MCC #CycloneFani IAF MI-17 helicopter lands at #Bhubaneswar for #HADR operations.,,
1+2,"Cyclone Fani: More than 1,000 #Bangladesh homes destroyed\n\n#CycloneFani\n\nhttps:\/\/t.co\/vEeg1vIRKV.",,
1+2,#WATCH: Food packets air dropped in &amp; around Puri #Odisha by #IndianNavy helicopters.,,
1+2,About 10% of Bhubaneswar will get back electricity connection by tonite: Energy Secretary \n#CycloneFani.,,
1+2,Despite weakening #CycloneFani caused extensive damage in Bangladesh.,,
1+2,"The death toll has reached 40, but official figure is 7 only.",,
,,,
1+3,"#CycloneFani LIVE Updates: 3 people killed in #Odisha, say, officials\nRead more: https:\/\/t.co\/4KvJ9i70rp https:\/\/t.co\/LONCximQvZ.",,
1+3,Powerful cyclone lashes eastern India with 124 mph gusts https:\/\/t.co\/H9tLqu76Uh via @nbcnews\n#CycloneFani #Cyclone.,,
1+3,Cyclone Fani: Powerful storm slams into eastern India coast https:\/\/t.co\/mcX7rQZJya\n#India #cyclones #CycloneFani\u2026 https:\/\/t.co\/5aTnWlL60a.,,
1+3,"More than 28 million people, including 10 million children, vulnerable to #cyclonefani in Odisha.\u2026 https:\/\/t.co\/x4AsTE3iBp.",,
1+3,#CycloneFani | The Union Health Ministry has announced the cancellation of Bhubaneswar as a centre for the #AIIMS P\u2026 https:\/\/t.co\/k2sOD4sjbF.,,
1+3,"#CycloneFani: Odisha CM Naveen Patnaik reviewed situation, Govt evacuated 12 lakh\u00a0people https:\/\/t.co\/H3PliTMoW6 https:\/\/t.co\/1pnYxHLORo.",,
1+3,For May 3\n\nTotal departure cancellations to Bhubaneswar from Delhi - 10\n\nTotal arrival cancellation from Bhubanesw\u2026 https:\/\/t.co\/fXfo6aXueF.,,
1+3,Our prayers are with people affected by the #CycloneFani in the eastern coast of India.\nWe hope the cyclone passes\u2026 https:\/\/t.co\/H6quEm6fy8.,,
1+3,"59 flights cancelled in Guwahati, 8 in #Agartala, 2 in #Dimapur, 2 in #Lilabari, 4 in #Dibrugarh, 6 in #Imphal.\u2026 https:\/\/t.co\/nNMqwM9t9Q.",,
1+3,"https:\/\/t.co\/RMsAypA2Hg https:\/\/t.co\/RMsAypA2Hg Cyclone Fani: Two killed in Odisha, PM Modi says Rs 1,000 crore rel\u2026 https:\/\/t.co\/AExidNJ88f.",,
1+3,"#CycloneFani has impacted the flight operations in the Northeastern states, as per the Airports Authority of India,\u2026 https:\/\/t.co\/MRnRIxgINm.",,
1+3,@IAF_MCC launches C-130Js for #HADR missions to Bhubaneswar for #CycloneFANI\n\nThree Super Hercules to land\u2026 https:\/\/t.co\/pR4Ad8IJX2.,,
1+3,"from 10,000 dead in \u201899 to 7 dead this time around.\npretty remarkable.\n#Fani #Odisha https:\/\/t.co\/Bexrl1pFDj.",,
1+3,Impact of #CycloneFani particularly felt in the coastal areas of Bangladesh.,,
1+3,A race against time ..early warning alert by Indian meteological department mass evacuation of 1.2 millions people\u2026 https:\/\/t.co\/wbV6ObzG0s.,,
1+3,Cyclone Fani: Odisha Govt Announces Relief Package\n\n#CycloneFani #FaniCyclone #Odisha #OdishaAfterFani\u2026 https:\/\/t.co\/Y35pEQ6rlX.,,
1+3,#CycloneFani hits India's east coast; 1.2 million evacuated https:\/\/t.co\/zIk3uxrAtW https:\/\/t.co\/19l7eDo4Qm.,,
1+3,"We stand no chance, #Fani cyclone to hit us this afternoon and will continue till tomorrow\n\n#memesdaily #collegelife https:\/\/t.co\/bH8E0snz7s.",,
1+3,160 people injured in Cyclone Fani\n#CycloneFani Updates: https:\/\/t.co\/kKdnueUhIC https:\/\/t.co\/TlEQXwko41.,,
1+3,"Tropical #CycloneFani, the strongest to hit India in five years, is also due on to strike #Bangladesh, where author\u2026 https:\/\/t.co\/QqqNtSsz6p.",,
1+3,"Three dead as cyclone '#Fani ' lashes #Odisha; Bhubaneswar, Kolkata airports shut https:\/\/t.co\/kFEKikgJW1.",,
1+3,"#CycloneFani landfall in Puri, India, 3 May 2019.",,
1+3,"They moved a million people to safety - and they did it really, really fast.",,
1+3,#Fani made landfall in Puri with windspeed of more than 200 kmph and gusting speed of 240 kmph.,,
1+3,"Cyclone Fani kills 14, injures 63 in Bangladesh\n\nhttps:\/\/t.co\/bRa986AEDS\n\n#Cyclone #CycloneFani #Fani #Bangladesh\u2026 https:\/\/t.co\/hZ4aOYGHRt.",,
,,,
2+3,#CycloneFani: Landfall has started in parts of north east #India.,,
2+3,A powerful #CycloneFani has lashed coastal areas of eastern India with torrential rain and winds gusting up to 200k\u2026 https:\/\/t.co\/C1kOFyEnNJ.,,
2+3,Cyclone Fani makes landfall in eastern India #CycloneFani https:\/\/t.co\/qySZ4rw6sk\nOh it's definitely coming to my side..... @rashtrapatibhvn NEET is going to be held on 5th may.Cyclone Feni has deteriorated the conditions in several state.\u2026 https:\/\/t.co\/Ffgy6dd7mR.,,
2+3,"#CycloneFani: #NarendraModi announces Rs1,000 crore relief package https:\/\/t.co\/EFLdm5AAW1.",,
2+3,"Considering #CycloneFani, 6 NDRF teams of #Ahmedabad leave for Odisha #Gujarat https:\/\/t.co\/ZBkuaoVBVb.",,
2+3,#CycloneFani has made landfall along the coast of Odisha in eastern #India.,,
2+3,"1,000 evacuated as #CycloneFani makes landfall on east coast\n#India #Puri https:\/\/t.co\/xfxcmztJ0V.",,
2+3,Over a crore hit by #CycloneFani as battered #Odisha looks at gigantic restoration via @NewIndianXpress\n\nhttps:\/\/t.co\/RtafNvy49T.,,
2+3,Hindustan Times: #Odisha | Visuals from Puri Railway Station after #cycloneFani hit the region on May 3 (News agen\u2026 https:\/\/t.co\/XnYk1Rea1o.,,
2+3,#TamilNadu government offers 10 crore rupees relief to #Odisha government following #CycloneFani https:\/\/t.co\/Z2IMXRpmXr.,,
2+3,We shd be prepared for life without electricity for 15 days or so.. That's fine pro\u2026 https:\/\/t.co\/Lw3EjzE1Y8.,,
2+3,The Remaining 300 Cr out of 309 Cr what Central Govt Gave to TN for Fani must have been signed by BDO's in Coastal\u2026 https:\/\/t.co\/BE3WvL7mlv.,,
2+3,"Cyclone Fani Kills 16 In Odisha, Massive Restoration Effort Begins https:\/\/t.co\/ZwWdDHVUVM #cyclonefani.",,
2+3,"#CycloneFani has severely impacted more than 10,000 villages in #Odisha.",,
2+3,Uttar Pradesh Chief Minister Yogi Adityanath has announced Rs 10 crore from the state relief fund for #CycloneFani victims in Odisha (ANI).,,
2+3,#CycloneFani death toll increases to 7.,,
